Uni,Studenten insgesamt,Anzahl Masterstudenten,Anzahl Lehre durch Praktiker,Anzahl Lehre durch Praktiker (im Master),Unterstützung am Studienanfang,Abschlüsse in angemessener Zeit,Abschlüsse in angemessener Zeit (Master),Abschlüsse in kooperation mit der Praxis,Abschlüsse in kooperation mit der Praxis (Master),Veröffentlichungen pro Wissenschaftler,Forschungsgelder je Wissenschaftler,Promotionen pro Professor,Betreuung durch Lehrende,Unterstützung im Studium,Lehrangebot,Studienorganisation,"Prüfungen (Wiederholbarkeit, Termine, ...)",Wissenschaftsbezug,Angebot zur Berufsorientierung,Unterstützung Auslandsstudium,Räume,Bibliotheksausstattung,IT-Infrastruktur,Ausstattung der Arbeitsplätze,Allgemeine Studiensituation
TU Braunschweig: 0.6016822801151681,960.0,210.0,90.0,90.0,1114.0,472.0,365.0,keine Angabe,keine Angabe,44.0,725.0,9.0,26.0,25.0,Ranggruppe nicht eindeutig zuweisbar,20.0,26.0,26.0,Ranggruppe nicht eindeutig zuweisbar,Ranggruppe nicht eindeutig zuweisbar,29.0,17.0,24.0,29.0,Ranggruppe nicht eindeutig zuweisbar
Constructor Univ. Bremen (priv.): 0.5638291098297429,450.0,70.0,0.0,0.0,1314.0,1000.0,1000.0,0.0,0.0,17.0,1382.0,9.0,Ranggruppe nicht eindeutig zuweisbar,Ranggruppe nicht eindeutig zuweisbar,21.0,22.0,23.0,22.0,Ranggruppe nicht eindeutig zuweisbar,24.0,20.0,22.0,Ranggruppe nicht eindeutig zuweisbar,19.0,Ranggruppe nicht eindeutig zuweisbar
Uni Bremen: 0.652259047136318,1780.0,320.0,50.0,50.0,80.0,,1214.0,472.0,408.0,154.0,524.0,36.0,993.0,10.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein
TU Chemnitz: 0.8206516065666155,1260.0,850.0,16.0,16.0,914.0,771.0,260.0,105.0,208.0,23.0,617.0,6.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
TU Clausthal: 0.7385956893207198,510.0,240.0,50.0,150.0,1314.0,667.0,10.0,keine Angabe,keine Angabe,29.0,455.0,7.0,18.0,21.0,Ranggruppe nicht eindeutig zuweisbar,15.0,23.0,23.0,15.0,15.0,19.0,15.0,15.0,22.0,Ranggruppe nicht eindeutig zuweisbar
BTU Cottbus-Senftenberg: 0.8255265105538858,360.0,110.0,0.0,0.0,1214.0,10.0,10.0,0.0,0.0,38.0,594.0,3.0,16.0,19.0,18.0,14.0,19.0,21.0,18.0,15.0,17.0,15.0,15.0,12.0,Ranggruppe nicht eindeutig zuweisbar
TU Darmstadt: 0.5099623656167902,3700.0,1300.0,100.0,150.0,1214.0,507.0,303.0,keine Angabe,keine Angabe,50.0,2288.0,18.0,23.0,20.0,22.0,19.0,25.0,24.0,28.0,22.0,19.0,16.0,20.0,21.0,21.0
TU Dortmund: 0.6789207042842186,5750.0,410.0,0.0,50.0,514.0,410.0,222.0,103.0,132.0,30.0,517.0,10.0,21.0,20.0,23.0,18.0,20.0,24.0,26.0,22.0,17.0,16.0,18.0,18.0,20.0
TU Dresden: 0.6733362575511673,2500.0,580.0,50.0,50.0,1114.0,616.0,364.0,keine Angabe,keine Angabe,34.0,1065.0,14.0,25.0,20.0,22.0,17.0,21.0,25.0,24.0,17.0,19.0,13.0,21.0,20.0,Ranggruppe nicht eindeutig zuweisbar
Uni Düsseldorf: 0.6137535898823908,1600.0,220.0,0.0,0.0,514.0,610.0,469.0,0.0,0.0,22.0,311.0,8.0,26.0,26.0,27.0,22.0,22.0,32.0,33.0,Ranggruppe nicht eindeutig zuweisbar,32.0,19.0,31.0,27.0,27.0
Uni Duisburg-Essen/Duisb.: 0.47314047326579656,2790.0,480.0,0.0,0.0,1114.0,700.0,487.0,48.0,31.0,51.0,445.0,7.0,23.0,23.0,24.0,20.0,25.0,24.0,29.0,28.0,24.0,20.0,24.0,28.0,24.0
Uni Duisburg-Essen/Essen - Fakultät für Wirtschaftswissenschaften: 0.6904059284240129,1320.0,80.0,40.0,60.0,1014.0,303.0,600.0,258.0,410.0,50.0,516.0,7.0,26.0,25.0,27.0,20.0,21.0,28.0,27.0,15.0,20.0,17.0,20.0,23.0,26.0
Uni Erlangen-Nürnberg: 0.5589325618736182,2600.0,700.0,30.0,50.0,1014.0,513.0,308.0,356.0,387.0,43.0,1007.0,15.0,23.0,23.0,21.0,18.0,23.0,25.0,27.0,22.0,22.0,19.0,20.0,24.0,20.0
Uni Frankfurt a.M.: 0.6729953017291932,2120.0,310.0,,,es liegen keine Daten vor,619.0,367.0,,,16.0,keine Angaben,9.0,,,,,,,,,,,,,
TU Bergakademie Freiberg: 0.8630535564736195,110.0,30.0,,,es liegen keine Daten vor,10.0,10.0,,,19.0,keine Angaben,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Uni Freiburg: 0.7342599343579517,1000.0,230.0,10.0,20.0,914.0,545.0,136.0,293.0,196.0,33.0,1605.0,11.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,15.0,15.0,15.0,Rücklaufquote zu klein,15.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein
Uni Göttingen: 0.7074228258683048,890.0,150.0,20.0,0.0,1014.0,638.0,354.0,1000.0,249.0,35.0,389.0,13.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,15.0,Rücklaufquote zu klein,15.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein
Uni Halle-Wittenberg: 0.6778967014825296,440.0,90.0,0.0,0.0,914.0,485.0,10.0,0.0,0.0,12.0,402.0,4.0,Ranggruppe nicht eindeutig zuweisbar,27.0,27.0,19.0,22.0,29.0,30.0,15.0,20.0,25.0,32.0,27.0,Ranggruppe nicht eindeutig zuweisbar
TU Hamburg: 0.633363948140011,940.0,190.0,30.0,0.0,814.0,634.0,297.0,258.0,327.0,24.0,330.0,3.0,23.0,22.0,23.0,22.0,26.0,25.0,27.0,20.0,18.0,18.0,21.0,29.0,24.0
Uni Hamburg: 0.6648601260468032,1800.0,610.0,,,es liegen keine Daten vor,638.0,268.0,,,30.0,keine Angaben,8.0,,,,,,,,,,,,,
Uni Hannover: 0.6249660012623776,1860.0,390.0,160.0,160.0,1114.0,612.0,464.0,keine Angabe,keine Angabe,64.0,253.0,10.0,23.0,20.0,25.0,20.0,23.0,25.0,26.0,20.0,19.0,17.0,21.0,Ranggruppe nicht eindeutig zuweisbar,22.0
Uni Heidelberg - Fakultät für Mathematik und Informatik: 0.6619824232342288,780.0,220.0,keine Angabe,keine Angabe,514.0,360.0,473.0,keine Angabe,keine Angabe,35.0,945.0,15.0,22.0,22.0,21.0,18.0,22.0,Ranggruppe nicht eindeutig zuweisbar,23.0,22.0,17.0,15.0,19.0,20.0,23.0
Uni Heidelberg - Medizinische Fakultät Heidelberg: 0.7260975083696073,850.0,70.0,,,es liegen keine Daten vor,690.0,766.0,,,spezielles Studienangebot,keine Angabe,spezielles Studienangebot,16.0,16.0,20.0,14.0,18.0,15.0,16.0,19.0,19.0,18.0,15.0,15.0,19.0
Uni Hildesheim: 0.825427856949827,520.0,250.0,120.0,120.0,1214.0,429.0,10.0,keine Angabe,keine Angabe,33.0,257.0,7.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
TU Ilmenau: 0.6409226038857411,700.0,310.0,50.0,50.0,1114.0,650.0,543.0,keine Angabe,keine Angabe,21.0,634.0,3.0,21.0,21.0,24.0,17.0,22.0,24.0,27.0,21.0,21.0,18.0,18.0,20.0,22.0
Uni Jena: 0.6841512017010964,560.0,150.0,,,1214.0,833.0,485.0,,,17.0,keine Angaben,7.0,21.0,20.0,24.0,15.0,20.0,23.0,27.0,19.0,17.0,18.0,16.0,15.0,21.0
RPTU Kaiserslautern-Landau: 0.6278071143523231,1380.0,520.0,150.0,100.0,1214.0,443.0,247.0,119.0,keine Angabe,68.0,1796.0,11.0,19.0,18.0,19.0,16.0,20.0,21.0,23.0,Ranggruppe nicht eindeutig zuweisbar,19.0,17.0,21.0,22.0,18.0
Karlsruher Inst. f. Technologie KIT: 0.5782764965840039,2740.0,730.0,210.0,50.0,1314.0,587.0,299.0,keine Angabe,keine Angabe,37.0,1077.0,14.0,24.0,21.0,21.0,19.0,24.0,22.0,24.0,21.0,19.0,15.0,19.0,24.0,20.0
Uni Kassel: 0.7370123041867137,780.0,60.0,22.0,32.0,1214.0,242.0,10.0,217.0,308.0,29.0,705.0,8.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,15.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein
Uni Kiel: 0.7084240625085121,1600.0,190.0,20.0,0.0,714.0,650.0,432.0,138.0,241.0,43.0,482.0,6.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein
